Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,date
Rabun,Georgia,US,34.88389445,-83.40304637,0,0,0,0,"Rabun, Georgia, US",03/22/2020
Ford,Kansas,US,37.69200114,-99.88825298,0,0,0,0,"Ford, Kansas, US",03/22/2020
Mitchell,Kansas,US,39.39331582,-98.20906732,1,0,0,0,"Mitchell, Kansas, US",03/22/2020
Reno,Kansas,US,37.95230263,-98.08607292,1,0,0,0,"Reno, Kansas, US",03/22/2020
Riley,Kansas,US,39.28935726,-96.73420026,1,0,0,0,"Riley, Kansas, US",03/22/2020
Jackson,Kansas,US,39.41673394,-95.79356799,1,0,0,0,"Jackson, Kansas, US",03/22/2020
Cherokee,Kansas,US,37.16928494,-94.8462897,1,0,0,0,"Cherokee, Kansas, US",03/22/2020
Franklin,Kansas,US,38.56443815,-95.28644341,1,0,0,0,"Franklin, Kansas, US",03/22/2020
Sedgwick,Kansas,US,37.6842718,-97.4608198,2,0,0,0,"Sedgwick, Kansas, US",03/22/2020
Morris,Kansas,US,38.68827511,-96.65128437,2,0,0,0,"Morris, Kansas, US",03/22/2020
Bernalillo,New Mexico,US,35.05163625,-106.6703554,32,0,0,0,"Bernalillo, New Mexico, US",03/22/2020
Linn,Kansas,US,38.21267844,-94.84254089,2,0,0,0,"Linn, Kansas, US",03/22/2020
Leavenworth,Kansas,US,39.20183497,-95.03620809,4,0,0,0,"Leavenworth, Kansas, US",03/22/2020
Douglas,Kansas,US,38.88503636,-95.2925121,4,0,0,0,"Douglas, Kansas, US",03/22/2020
Wyandotte,Kansas,US,39.11727348,-94.76378225,14,1,0,0,"Wyandotte, Kansas, US",03/22/2020
Johnson,Kansas,US,38.88548175,-94.82250877,28,1,0,0,"Johnson, Kansas, US",03/22/2020
Noble,Oklahoma,US,36.38953329,-97.22928674,1,0,0,0,"Noble, Oklahoma, US",03/22/2020
Muskogee,Oklahoma,US,35.61318461,-95.37802952,1,0,0,0,"Muskogee, Oklahoma, US",03/22/2020
McClain,Oklahoma,US,35.01123903,-97.44572302,1,0,0,0,"McClain, Oklahoma, US",03/22/2020
Logan,Oklahoma,US,35.91899576,-97.44352845,1,0,0,0,"Logan, Oklahoma, US",03/22/2020
Grady,Oklahoma,US,35.0167709,-97.88339847,1,0,0,0,"Grady, Oklahoma, US",03/22/2020
Butler,Kansas,US,37.78134351,-96.83878537,3,0,0,0,"Butler, Kansas, US",03/22/2020
Santa Fe,New Mexico,US,35.50708973,-105.9774716,8,0,0,0,"Santa Fe, New Mexico, US",03/22/2020
Sandoval,New Mexico,US,35.68862401,-106.86878030000001,7,0,0,0,"Sandoval, New Mexico, US",03/22/2020
Taos,New Mexico,US,36.58006022,-105.63101979999999,3,0,0,0,"Taos, New Mexico, US",03/22/2020
Douglas,Nebraska,US,41.29518299,-96.15085305,34,0,0,0,"Douglas, Nebraska, US",03/22/2020
